Institution,sfr,infrastructure,out turn,Score
B.S. Abdur Rahman Crescent Institute of Science & Technology (Id: U-0445),13.3960396,30,1127,152
"Bundelkhand University,  Jhansi (Id: U-0502)",18.64210526,24,0,1767
"Burdwan University, Burdwan (Id: U-0569)",18.28834356,24,6484,275
"Calcutta University, Kolkata (Id: U-0570)",14.87053571,30,5195,669
Career Point University (Id: U-0925),42.27322404,30,523,1549
"CAREER POINT UNIVERSITY, HAMIRPUR (Id: U-0694)",54.44117647,19,524,12826
"Central Agricultural University, Imphal (Id: U-0336)",36.14655172,30,499,14362
CENTRAL INSTITUTE OF BUDDHIST STUDIES (Id: U-1025),22.87692308,29,75,399
"Central Institute of Fisheries Education, Fishries University, Mumbai (Id: U-0293)",19.71428571,26,135,509
"Central Institute of Higher Tibetan Studies, Varanasi (Id: U-0503)",8.437735849,29,573,426
CENTRAL INSTITUTE OF TECHNOLOGY (Id: U-1067),5.705882353,18,0,48
"Central Univeristy of Gujarat, Gandhinagar (Id: U-0126)",3.160493827,26,209,238
"Central Univeristy of Kerala, Kasaragod (Id: U-0252)",6.1,26,610,64
"Central University of Haryana, Mahendergarh (Id: U-0158)",4.442105263,16,656,109
"Central University of Himachal Pradesh, Dharmshala, Kangra (Id: U-0178)",9.262626263,24,509,473
CENTRAL UNIVERSITY OF JAMMU (Id: U-0631),15.5037594,27,334,1940
"Central University of Jharkhand, Ranchi (Id: U-0204)",17.38666667,27,499,1536
"Central University of Karnataka, Gulbarga (Id: U-0216)",20.18421053,17,449,1322
"Central University of Kashmir, Srinagar (Id: U-0193)",17.92857143,29,436,1096
"Central University of Orissa, Koraput (Id: U-0352)",18.71428571,25,308,1051
"Central University of Punjab, Bathhinda (Id: U-0372)",19.91208791,28,492,833
"Central University of Rajasthan, Jaipur (Id: U-0392)",19.90151515,25,460,1266
"Central University of South Bihar, Patna (Id: U-0062)",18,17,315,518
"Central University of Tamil Nadu, Tiruvarur (Id: U-0449)",12.90598291,28,615,1473
"Centre for Environmental Planning and Technology University, Ahmedabad (Id: U-0127)",13.15436242,29,482,967
Centurion University of Technology and Management (Id: U-0353),13.13157895,23,507,1176
CENTURION UNIVERSITY OF TECHNOLOGY AND MANAGEMENT (Id: U-0957),12.97905759,28,0,1459
CHANDIGARH UNIVERSITY (Id: U-0747),17.35714286,20,6402,811
"Chankaya National Law University, Patna (Id: U-0063)",15.09278351,28,142,45
"Charotar University of Science & Technology,  Anand (Id: U-0128)",14.23529412,23,33,3
"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)",14.73920086,30,1310,3974
CHAUDHARY BANSI LAL UNIVERSITY (Id: U-0788),24.96666667,23,229,49
"CHAUDHARY RANBIR SINGH UNIVERSITY, JIND (Id: U-0738)",41.5,27,433,415
"Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya, Palampur (Id: U-0179)",23.16842105,26,432,1557
"Ch. Devi Lal University, Sirsa (Id: U-0160)",13.31914894,10,1161,1252
"Chennai Mathematical  Institue, Chennai (Id: U-0450)",0,29,57,0
"Chettinad Academy of Research & Education, Kancheepuram (Id: U-0451)",24.84615385,19,3,1167
CHHATRAPATI SHIVAJI MAHARAJ UNIVERSITY (Id: U-0987),7.068669528,20,0,422
CHHATTISGARH KAMDHENU VISHWAVIDALAYA (Id: U-0634),67.15384615,25,394,2474
"Chhattisgarh Swami Vivekanand Technical University, Bhilai (Id: U-0083)",5.74,26,17,170
"Children University, Gandhinagar (Id: U-0594)",6.176470588,28,45,37
Chinmaya Vishwavidyapeeth (Id: U-0903),14.03571429,22,5,136
"Chitkara University, Kalu Jhanda (Barotiwala), Solan (Id: U-0180)",207.25,20,383,112
"Chitkara University, Patiala (Id: U-0373)",4.173913043,18,2261,96
"Choudhary Charan Singh University, Meerut (Id: U-0506)",28.4,21,0,247
"Christ University, Bangalore (Id: U-0217)",6.425,26,6837,66
Cluster University of Jammu (Id: U-0926),14.63448276,30,0,75
CMJ University (Id: U-0942),16.08281054,28,204,2230
"CMR UNIVERSITY, BANGALORE (Id: U-0723)",38.47747748,28,379,2021
"Cochin University of Science & Technology, Kochi (Id: U-0253)",27.25872443,29,1214,5948
COOCH BEHAR PANCHANAN BARMA UNIVERSITY (Id: U-0787),33.13793103,12,486,0
COTTON UNIVERSITY (Id: U-0675),0,0,1390,0
"CT University, Ludhiana (Id: U-0892)",7.103448276,19,87,390
"C.U.SHAH UNIVERSITY, SURENDRANAGAR (Id: U-0708)",23.24651163,27,34,715
Dakshina Bharat Hindi Prachar Sabha (Id: U-0452),25.34355828,27,515,2621
Damodaram Sanjivayya National Law University (Id: U-0002),28.3442623,20,122,1629
"Datta Meghe Institute of Medical Sciences, Nagpur (Id: U-0295)",20.98214286,26,672,1923
"Davangere University, Davangere (Id: U-0218)",13.25874126,25,903,262
DAV University (Id: U-0776),1.583333333,27,1457,19
"Dayalbagh Educational Institute, Agra (Id: U-0507)",26.8,22,2953,423
DAYANANDA SAGAR UNIVERSITY (Id: U-0856),28.14285714,23,506,17
"Deccan College Postgraduate & Research Institute, Pune (Id: U-0296)",6.86802974,29,67,593
"Deenbandhu Chhotu Ram University of Science & Technology, Murthal(Sonepat) (Id: U-0161)",13.67692308,16,756,1746
"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur (Id: U-0508)",29.26446281,25,3614,1016
"Defence Institute of Advanced Technology, Girinagar, Pune (Id: U-0297)",41.71428571,27,274,1918
DELHI PHARMACEUTICAL SCIENCES AND RESEARCH UNIVERSITY (Id: U-0853),18.02681992,27,145,530
DESH BHAGAT UNIVERSITY (Id: U-0684),10.28571429,22,784,288
"Devi Ahilya Vishwavidyalaya, Indore (Id: U-0270)",24.65838509,26,3560,1001
"Dev Sanskriti Vishwavidyalaya, Gayatrikunj (Id: U-0551)",50.2037037,25,568,4515
DHARMASHASTRA NATIONAL LAW UNIVERSITY (Id: U-0958),10.97916667,23,0,527
"Dharmsinh Desai univeristy, Nadiad (Id: U-0129)",21.16666667,29,1101,221
"Dhirubhai Ambani Institute of Information & Communication Technology, Gandhi Nagar (Id: U-0130)",8.672284644,30,475,909
DIAMOND HARBOUR WOMEN?S UNIVERSITY (Id: U-0768),57.81730769,0,386,4804
"Dibrugarh University, Dibrugarh (Id: U-0051)",8.756302521,28,3677,239
DIT UNIVERSITY (Id: U-0774),12.9,16,1413,9
"Doon University, Dehradun (Id: U-0552)",15.84892086,29,284,456
DR. ABDUL HAQ URDU UNIVERSITY (Id: U-0998),6.823076923,29,59,460
Dr. A.P.J. ABDUL KALAM UNIVERSITY (Id: U-0862),10.31,19,1202,1031
"Dravidian University, Kuppam, Chittoor District (Id: U-0010)",57.57798165,29,395,8594
"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad (Id: U-0298)",19.32962963,25,1288,437
"Dr. Babasaheb Ambedkar Open University, Ahmedabad (Id: U-0131)",65.08823529,25,8722,290
"Dr. Babasaheb Ambedkar Technological University, Lonere (Id: U-0299)",8.304347826,7,624,84
"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar (Id: U-0374)",0,0,877,0
Dr. B.R Ambedkar National Law University (Id: U-1070),16.81606765,28,0,1062
"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",25.06666667,19,4259,636
"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",26.07894737,25,1077,3962
Dr. B. R. Ambedkar University Delhi (Id: U-0097),1289.666667,19,818,6508
"Dr.B.R.Ambedkar University, Etcherla (Id: U-0009)",20.66086957,23,682,42
Dr. C.V. Raman University (Id: U-0937),0,12,154,0
Dr. C.V RAMAN UNIVERSITY (Id: U-0994),20.47643979,26,22,690
"Dr. C. V. Raman University, Kota Bilaspur (Id: U-0084)",20.66666667,9,45851,0
"Dr. Harisingh Gaur  Vishwavidyalaya, Sagar (Id: U-0271)",249.0869565,0,1518,16604
DR HOMI BHABHA STATE UNIVERSITY MUMBAI (Id: U-1076),16.67977528,23,0,788
"Dr K N Modi University, Tonk (Id: U-0393)",16.5978836,23,511,1627
"Dr Rajendra Prasad Central Agricultural University, Samastipur (Id: U-0075)",15.04123711,22,62,978
"Dr. Ram Manohar Lohia  Awadh University, Faizabad (Id: U-0510)",19.7195122,25,2260,592
"Dr. Ram Manohar Lohiya National Law University, Lucknow (Id: U-0511)",16.76744186,23,213,16
"Dr Sarvepalli Radhakrishnan Rajasthan Ayurved University, Jodhpur (Id: U-0418)",154.5333333,25,1265,4689
DR. SHYAMA PRASAD MUKHERJEE UNIVERSITY (Id: U-0982),0,30,74,0
Dr. Vishwanath Karad MIT World Peace University (Id: U-0938),26.91561181,27,682,1436
"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan (Id: U-0181)",38.01769912,26,517,1010
Dr Y S R Horticulture University (Id: U-0001),9.751592357,28,375,180
"D.Y. Patil Educational Society , Kolhapur (Id: U-0294)",0,8,311,0
D Y PATIL INTERNATIONAL UNIVERSITY (Id: U-0984),0,25,0,0
ERA UNIVERSITY (Id: U-1040),4.333333333,17,177,221
"Eternal University, Baru Sahib Sirmour (Id: U-0182)",22.34269663,26,352,1842
"Fakir Mohan University, Balasore (Id: U-0354)",29.25,21,1638,39
Footwear Design and Development Institute (Id: U-0898),218.0227273,24,300,560
GALGOTIAS UNIVERSITY (Id: U-0643),53.8136646,18,3178,2567
"Gandhigram Rural Institute, Dindigul (Id: U-0453)",16.99473684,26,926,2401
GANDHI INSTITUTE OF ENGINEERING AND TECHNOLOGY UNIVERSITY (Id: U-1071),11.72277228,22,0,805
"Gandhi Institute of Technology & Management (GITAM) University, Visakhapatnam (Id: U-0011)",24.78873239,20,15984,132
GANGADHAR MEHER UNIVERSITY (Id: U-0852),7.034482759,30,1700,281
"Ganpat University, Ganpat Vidyanagar, Kherva (Id: U-0132)",16.70212766,22,313,14
Garden City University (Id: U-0918),6.721311475,30,131,319
"Gauhati University, Guwahati (Id: U-0052)",10.81666667,28,4355,229
"Gautam Buddha University, Greater Noida, Gautam Budh Nagar (Id: U-0514)",48.58666667,26,706,2909
G.D. GOENKA UNIVERSITY (Id: U-0720),14.52083333,19,463,160
GEETANJALI UNIVERSITY (Id: U-0746),21.45833333,28,517,1430
G.H. RAISONI UNIVERSITY (Id: U-0977),27.046875,24,79,1004
"G.L.A University, Mathura (Id: U-0513)",4.202985075,25,3221,505
GLOCAL UNIVERSITY (Id: U-0645),54.62472568,29,404,8933
GLS UNIVERSITY (Id: U-0775),123.2708333,14,0,1766
GNA UNIVERSITY (Id: U-0789),50.36363636,29,717,346
"Goa University, Goa (Id: U-0121)",22.3539823,28,832,361
"Gokhale Institute of Politics & Economics, Pune (Id: U-0303)",56.47804878,30,158,19020
GOKUL GLOBAL UNIVERSITY (Id: U-0962),45.30208333,23,0,943
"GONDWANA UNIVERSITY, GADCHIROLI (Id: U-0658)",0,27,69,0
GOPAL NARAYAN SINGH UNIVERSITY (Id: U-1066),11.11705686,26,29,722
"Govind Guru Tribal University, Banswara (Id: U-0896)",4.41509434,27,58,412
GRAPHIC ERA HILL UNIVERSITY (Id: U-0638),15.36144578,24,1676,99
"Graphic Era University, Dehradun (Id: U-0555)",18.16453382,28,1542,1332
G S F C UNIVERSITY (Id: U-0759),9.530364372,25,217,157
"Gujarat Ayurveda University, Jamnagar (Id: U-0133)",0,25,717,0
Gujarat Forensic Sciences University (Id: U-0593),18.66101695,20,291,223
GUJARAT MARITIME UNIVERSITY (Id: U-1036),11.47752809,28,0,1837
"Gujarat National Law University, Gandhinagar (Id: U-0134)",16.4137931,21,216,413
"Gujarat Technological University, Ahmedbabd (Id: U-0135)",300,28,49,0
"Gujarat University, Ahmedabad (Id: U-0136)",8.125,14,1133,455
GUJARAT UNIVERSITY OF TRANSPLANTATION SCIENCES (Id: U-0817),6.313953488,23,18,379
"Gujarat Vidyapith, Ahmedabad (Id: U-0137)",277,5,910,187
"Gulbarga University, Gulbarga (Id: U-0219)",21.10781671,27,1031,1080
"Guru Angad Dev Veterinary & Animal Sciences University, Ludhiana (Id: U-0375)",20.37301587,27,342,1264
"Guru Ghasidas Vishwavidyalaya, Bilaspur (Id: U-0085)",12.29591837,26,2235,28
Guru Gobind Singh Indraprastha University (Id: U-0099),283,29,1150,181
"GURUGRAM UNIVERSITY, GURUGRAM (Id: U-1021)",19.38297872,23,0,902
"Guru  Jambheshwar University of Science and Technology, Hissar (Id: U-0162)",3,22,3338,32
GURU KASHI UNIVERSITY (Id: U-0653),23.79545455,24,1073,123
"Gurukul Kangri Vishwavidyalaya, Haridwar (Id: U-0556)",323,20,1565,323
"Guru Nanak Dev University, Amritsar (Id: U-0376)",24.58108108,25,3672,3345
Haridev Joshi University of Journalism & Mass Communication (Id: U-1059),8.6,2,0,32
"Hemchandracharya North Gujart University, Patan (Id: U-0138)",22.93577982,28,964,1267
"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal (Id: U-0557)",23.648,25,31292,2899
HEMWATI NANDAN BAHUGUNA MEDICAL EDUCATION UNIVERSITY (Id: U-0819),5.853982301,24,0,336
"Hidayatullah National Law University, Raipur (Id: U-0086)",18.70197044,24,164,2082
HIMACHAL PRADESH NATIONAL LAW UNIVERSITY SHIMLA (Id: U-1035),22.205,28,17,2299
"Himachal Pradesh Technical University, Hamirpur (Id: U-0598)",112.8888889,24,0,335
"Himachal Pradesh University , Shimla (Id: U-0183)",46.78612717,28,17796,6735
"HIMALAYAN UNIVERSITY, ITANAGAR (Id: U-0719)",16.62578616,19,999,576
"Himgiri Zee University, Dehradun (Id: U-0559)",25.24255319,26,245,1674
"Hindustan Institute of Technology and Science, Kancheepuram (Id: U-0454)",24.34725275,29,1408,5540
"Homoeopathy University, Jaipur (Id: U-0607)",,1,103,0
"ICFAI Foundation for Higher Education, Hyderabad (Id: U-0012)",4.875,13,1590,30
ICFAI UNIVERSITY (Id: U-0635),25.77586207,16,29,1864
IEC (INDIA EDUCATION CENTRE) UNIVERSITY (Id: U-0696),0,10,143,0
IES UNIVERSITY (Id: U-1064),55.56291391,28,0,2337
"IFTM University, Moradabad (Id: U-0515)",0,0,3037,0
IIHMR UNIVERSITY (Id: U-0851),30.41935484,26,230,58
IILM UNIVERSITY (Id: U-0988),21.25,8,0,27
IIMT University (Id: U-0889),11.92857143,0,334,296
"I.I.S. University, Jaipur (Id: U-0394)",62.56395349,27,1727,6232
"I K Gujral Punjab Technical University, Jalandhar (Id: U-0382)",18.15469613,23,100,931
IMS UNISON UNIVERSITY (Id: U-0773),16.01388889,29,604,197
Indian Agricultural Research Institute (KRISHI PUSHA) New Delhi. (Id: U-0101),14.63876652,28,242,510
INDIAN ASSOCIATION FOR THE CULTIVATION OF SCIENCE (Id: U-1049),0,16,0,0
"INDIAN INSTITUTE OF ENGINEERING SCIENCE AND TECHNOLOGY, SHIBPUR (Id: U-0584)",15.06666667,18,893,78
"Indian Institute of Foreign Trade, Delhi (Id: U-0102)",19.84502924,28,262,2528
"Indian Institute of Information Technology, Allahabad (Id: U-0516)",13.68181818,21,490,18
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR (Id: U-0953),15.12857143,24,0,207
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, CHITTOOR (Id: U-0760)",0,27,104,0
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram (Id: U-0455)",24.57063712,30,302,1548
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, DHARWAD (Id: U-0803)",14.53658537,27,25,596
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, GUWAHATI (Id: U-0795)",13.36,28,61,386
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KALYANI (Id: U-0796)",9.145833333,30,68,370
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTA (Id: U-0799)",19.4795082,29,60,1310
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTTAYAM (Id: U-0802)",9.588888889,25,30,145
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, LUCKNOW (Id: U-0801)",27.25757576,19,44,420
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, NAGPUR (Id: U-0841)",2.623126338,28,0,1225
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, PUNE (Id: U-0804)",3.426470588,17,0,141
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, RANCHI (Id: U-0840)",16.8034188,30,0,1499
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SENAPATI (Id: U-0770)",9.898550725,21,19,683
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SONIPAT (Id: U-0800)",24.91044776,30,60,284
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SRIRANGAM (Id: U-0754)",18.30769231,20,69,0
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SURAT (Id: U-0954),59.875,23,0,32
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, UNA (Id: U-0797)",30.45098039,28,42,181
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, VADODARA (Id: U-0798)",22,16,101,3
INDIAN INSTITUTE OF MANAGEMENT AHMEDABAD (Id: U-1016),13.47916667,17,486,104
INDIAN INSTITUTE OF MANAGEMENT AMRITSAR (Id: U-1001),20.375,14,95,0
INDIAN INSTITUTE OF MANAGEMENT BANGALORE (Id: U-1014),35.86666667,1,422,0
INDIAN INSTITUTE OF MANAGEMENT BODH GAYA (Id: U-1006),17.63157895,19,39,28
INDIAN INSTITUTE OF MANAGEMENT INDORE (Id: U-1012),29.45454545,16,1045,11
"INDIAN INSTITUTE OF MANAGEMENT, JAMMU AND KASHMIR (Id: U-1004)",23.58333333,23,62,14
INDIAN INSTITUTE OF MANAGEMENT KASHIPUR (Id: U-1009),27.6875,29,108,12
"INDIAN INSTITUTE OF MANAGEMENT, KOLKATA (Id: U-1019)",22.53333333,21,1163,0
