Institution,tMale,tFemale,Male,Female,Male.1,Female.1,Male.2,Female.2,Male.3,Female.3,Male.4,Female.4,Male.5,Female.5
"AMITY UNIVERSITY, RAIPUR (Id: U-0757)",40,26,2,1,,,4,,,,4,4,3,1
"Amity University Rajasthan, Jaipur (Id: U-0388)",141,82,11,6,2,,24,9,,,4,1,,
"Amity University, Uttar Pradesh (Id: U-0497)",862,1054,1,0,,4,13,15,,,29,24,14,25
"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",913,781,17,18,1,,206,202,,2,9,5,50,54
"Anand Agricultural University, Anand (Id: U-0123)",1,,,,,,,,,,,,,
ANANT NATIONAL UNIVERSITY (Id: U-0830),33,27,,,,,,1,,,3,,,
"Andhra University, Visakhapatnam (Id: U-0006)",267,173,13,17,4,3,23,56,,,2,3,3,10
"Annamalai University, Annamalainagar (Id: U-0443)",1333,384,127,47,2,1,1050,273,1,,18,3,53,23
"Anna University, Chennai (Id: U-0439)",1,3,,,,,1,3,,,,,,
Ansal University (Id: U-0667),36,59,,,,,,,,,6,2,3,4
"Apeejay  Stya University, Sohna (Id: U-0156)",34,34,,2,,,1,,,,3,,,3
APEX PROFESSIONAL UNIVERSITY (Id: U-0712),21,21,,,3,8,,1,,,2,,8,12
A P GOYAL SHIMLA UNIVERSITY (Id: U-0697),66,72,1,,,,,,,,1,3,1,1
A P J ABDUL KALAM TECHNOLOGICAL UNIVERSITY (Id: U-0786),1,1,,,,,,,,,,,,
"ARKA JAIN University, Jharkhand (Id: U-0920)",16,29,,,1,1,2,3,,,1,4,1,1
"Arni University, Katgarh (Indora), Kangra (Id: U-0176)",34,36,2,3,,,2,3,,,,,4,2
ARUNACHAL UNIVERSITY OF STUDIES (Id: U-0740),101,71,3,1,13,21,14,14,,,4,,12,21
Arunodaya University (Id: U-0947),5,14,,,3,12,,1,,,,,2,11
"Aryabhatta Knoweledge University , Patna (Id: U-0057)",5,,,,,,2,,,,1,,,
ASHOKA UNIVERSITY (Id: U-0744),55,38,,,,,,,,,,,45,34
"Assam Agricultural University, Jorhat (Id: U-0048)",87,89,2,2,1,5,15,20,,,2,,,1
"Assam Don Bosco University, Guwahati (Id: U-0049)",152,67,4,2,9,6,5,7,,,3,3,46,12
ASSAM DOWN TOWN UNIVERSITY (Id: U-0683),83,76,2,3,3,12,3,5,,,6,,,3
Assam Royal Global University (Id: U-0894),87,79,2,1,,6,16,7,,,4,6,1,1
ASSAM SCIENCE AND TECHNOLOGY UNIVERSITY (Id: U-0673),6,,,,,,3,,,,,,,
"Assam University, Silchar (Id: U-0050)",267,75,44,10,10,4,34,10,1,,14,5,11,2
ASSAM WOMEN?S UNIVERSITY (Id: U-0815),19,29,,1,1,2,8,13,1,,2,4,,
ATAL BIHARI VAJPAYEE HINDI VISHWAVIDYALAYA (Id: U-0651),1,2,,,,,,,,,,,,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior (Id: U-0267)",33,7,1,,,1,3,,,,1,,1,1
ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA (Id: U-0636),17,11,2,1,1,,5,3,,,1,,2,
ATMIYA UNIVERSITY (Id: U-0967),76,24,1,,,,15,2,,,,,2,2
AURO UNIVERSITY OF HOSPITALITY AND MANAGEMENT (Id: U-0794),48,38,,,,,1,,,,1,1,3,3
AVANTIKA UNIVERSITY (Id: U-0959),17,4,,,1,,3,1,,,,,1,0
"Avinashilingam Institute for Home Science & Higher Education for Women, Coimbatore (Id: U-0444)",,376,,41,,7,,269,,4,,7,,42
"Awadesh Pratap Singh University, Rewa (Id: U-0268)",44,12,1,,,,4,,,,,,,
"Azim Premji University, Bangalore (Id: U-0601)",79,60,1,,,,,,,,,,79,60
"Baba Farid University of Health & Medical Sciences, Faridkot (Id: U-0371)",2,,,,,,,,,,,,1,
"Baba Ghulam Shah Badshah University,  Jammu (Id: U-0191)",142,56,3,3,16,5,7,2,,,101,29,5,9
BABA MASTNATH UNIVERSITY (Id: U-0666),63,62,3,2,,,12,5,,,,,,
"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur (Id: U-0058)",67,21,,,,,17,,,,9,,,
"Babasheb Bhimrao Ambedkar University, Lucknow (Id: U-0498)",112,42,25,10,5,2,24,11,3,,5,2,3,2
"Babu Banarsi Das University, Lucknow (Id: U-0499)",258,183,5,1,,,47,8,,,19,12,,
"Baddi University of Emerging Sciences and Technology, Baddi (Makhnumajra), Solan (Id: U-0177)",28,32,2,1,1,0,3,1,,,,,3,2
"Bahra University, Solan (Id: U-0597)",57,50,,1,1,,,,,,,,,
"Banaras Hindu University, Banaras (Id: U-0500)",893,247,87,27,27,13,119,32,1,,20,3,7,6
Banasthali Vidyapith (Id: U-0389),237,374,9,10,2,2,50,46,1,,11,8,5,10
"Bangalore University, Bangalore (Id: U-0215)",139,90,59,19,11,6,28,17,,1,3,5,,4
"BANKURA UNIVERSITY, BANKURA (Id: U-0772)",34,12,9,,1,,2,3,,,2,1,,
"Bareilly International University, Bareilly (Id: U-0897)",194,140,3,2,1,,24,17,,,14,14,4,8
"Barkatullah University, Bhopal (Id: U-0269)",62,61,8,5,4,3,6,10,,,1,8,1,4
"Bastar Vishwavidyalaya, Bastar (Id: U-0082)",20,13,1,,3,1,5,1,1,,,1,,2
BENGALURU CENTRAL UNIVERSITY (Id: U-0956),20,15,3,1,1,1,9,3,,,,,3,
BENGALURU NORTH UNIVERSITY (Id: U-0972),24,13,8,3,1,,13,5,,,2,,,1
"Bennett University, Greater Noida (Id: U-0890)",68,33,,,,,,,,,3,,2,6
"Berhampur University, Berhampur (Id: U-0350)",76,16,10,2,13,,4,,,,,,2,
"Bhabha University, Bhopal (Id: U-0943)",10,15,3,1,,,4,3,,,,,,
"Bhagat Phool Singh  Mahila University, Khanpur Kalan, Sonipat (Id: U-0157)",26,26,3,2,,,3,2,,,,,1,
Bhagwant Global University (Id: U-0929),25,19,2,1,,,7,2,,,2,,,2
"Bhagwant University,  Ajmer (Id: U-0390)",119,30,1,,1,2,18,2,,,2,,3,
BHAKTA KAVI NARSINH MEHTA UNIVERSITY (Id: U-0783),20,3,1,,,1,4,1,,,1,,,
"Bharathiar University, Coimbatore (Id: U-0447)",146,82,37,11,,,100,64,1,,,,6,4
"Bharathidasan University, Tiruchirappalli (Id: U-0448)",122,35,34,10,,,79,24,,,3,,9,3
Bharath Institute of Higher Education & Research (Id: U-0446),669,650,47,58,3,7,338,369,,,23,20,54,73
"Bharati Vidyapeeth, Pune (Id: U-0292)",5,,,,,,,,,,,,,
Bhartiya Skill Development Univesity (Id: U-0949),65,14,3,,,,20,2,,,3,,5,2
BHUPAL NOBLES' UNIVERSITY (Id: U-0836),89,74,1,1,,,4,6,1,,2,4,3,11
"Bhupendra Narayan Mandal University, Madhepura (Id: U-0059)",42,3,,,,,24,2,,,1,,,
"Bidhan Chandra Krishi Vishwavidyalaya , Nadia (Id: U-0568)",200,29,34,8,5,2,10,3,,,5,,,
"Bihar Agriculture University, Sabour (Id: U-0060)",18,6,3,1,,,3,2,,,2,,,
BIHAR ANIMAL SCIENCES UNIVERSITY (Id: U-0997),23,2,2,,1,,10,1,,,1,,,
"Biju Patnaik University of Technology, Rourkela (Id: U-0351)",17,7,1,,,,4,,,,,,,
BIKANER TECHNICAL UNIVERSITY (Id: U-0991),15,4,,,,,5,3,,,,,1,1
BINOD BIHARI MAHTO KOYALANCHAL UNIVERSITY (Id: U-0978),47,13,3,,2,1,11,4,,,1,,,
BIRLA GLOBAL UNIVERSITY (Id: U-1020),22,10,,,,,,,,,,,,
"Birla Institute of Technology, Ranchi (Id: U-0202)",267,76,11,0,1,3,22,2,1,,7,3,2,4
"Birla Institute of Technology & Sciences, Pilani (Id: U-0391)",506,142,2,,,,10,3,,,9,2,16,7
"Birsa Agricultural University, Ranchi (Id: U-0203)",85,22,2,1,10,10,13,2,,,9,,9,11
BIRSA MUNDA TRIBAL UNIVERSITY (Id: U-0966),1,,,,,,,,,,,,,
"B.L.D.E. University,  Bijapur (Id: U-0214)",117,50,1,,,,3,3,2,,2,1,1,
BML MUNJAL UNIVERSITY (Id: U-0735),73,34,,1,,,5,,,,6,,,
BODOLAND UNIVERSITY (Id: U-0674),64,33,6,2,33,21,7,4,,,,,3,4
BRAINWARE UNIVERSITY (Id: U-0846),77,17,1,,,,1,,,,,,,
B.S. Abdur Rahman Institute of Science & Technology (Id: U-0445),219,149,16,6,1,,137,99,1,,100,37,11,13
"Bundelkhand University,  Jhansi (Id: U-0502)",136,47,13,6,,,18,6,,,7,3,,
"Burdwan University, Burdwan (Id: U-0569)",187,51,28,4,2,9,5,1,,,6,2,2,6
"Calcutta University, Kolkata (Id: U-0570)",294,170,43,19,7,3,22,4,1,1,17,2,8,3
Career Point University (Id: U-0925),76,44,7,1,2,1,19,7,1,,8,5,3,3
"CAREER POINT UNIVERSITY, HAMIRPUR (Id: U-0694)",44,37,2,4,,,2,,,,,,,
"Carlox Teacher's University, Ahmedabad (Id: U-0125)",30,31,,1,,,1,2,,,1,1,,
"Central Agricultural University, Imphal (Id: U-0336)",183,59,22,5,11,9,53,13,,,6,,13,10
"Central Institute of Fisheries Education, Fishries University, Mumbai (Id: U-0293)",55,27,9,,1,,12,9,,,3,4,1,1
"Central Institute of Higher Tibetan Studies, Varanasi (Id: U-0503)",66,4,,,3,,1,,,,,,53,2
"Central Univeristy of Gujarat, Gandhinagar (Id: U-0126)",52,35,10,3,4,1,11,6,1,1,3,2,4,5
"Central Univeristy of Kerala, Kasaragod (Id: U-0252)",87,36,12,5,6,1,28,18,5,,4,2,12,8
"Central University of Haryana, Mahendergarh (Id: U-0158)",103,40,10,5,1,1,20,11,1,,3,,,1
"Central University of Himachal Pradesh, Dharmshala, Kangra (Id: U-0178)",58,15,11,,3,2,12,2,,2,2,2,3,1
CENTRAL UNIVERSITY OF JAMMU (Id: U-0631),78,35,9,3,3,1,19,4,1,,6,,2,
"Central University of Jharkhand, Ranchi (Id: U-0204)",67,15,8,2,4,4,15,2,,,2,1,4,4
"Central University of Karnataka, Gulbarga (Id: U-0216)",50,13,8,3,2,1,15,3,2,,6,1,3,3
"Central University of Kashmir, Srinagar (Id: U-0193)",116,38,7,1,3,1,15,2,,,101,34,3,1
"Central University of Orissa, Koraput (Id: U-0352)",45,14,3,1,1,1,12,,2,,,1,,
"Central University of Punjab, Bathhinda (Id: U-0372)",85,30,10,1,,,11,1,2,,1,1,13,8
"Central University of Rajasthan, Jaipur (Id: U-0392)",115,36,14,3,6,,26,3,1,,3,1,,4
"Central University of South Bihar, Patna (Id: U-0062)",106,30,11,1,3,2,22,5,2,,5,1,3,1
"Central University of Tamil Nadu, Tiruvarur (Id: U-0449)",116,44,16,3,4,1,53,18,2,,4,1,5,2
"Centre for Environmental Planning and Technology University, Ahmedabad (Id: U-0127)",45,40,,,,,,,,,1,,2,3
Centurion University of Technology and Management (Id: U-0353),105,51,6,1,1,1,30,19,,,2,,1,2
CENTURION UNIVERSITY OF TECHNOLOGY AND MANAGEMENT (Id: U-0957),13,10,1,2,,,7,4,0,,,1,2,
CHANDIGARH UNIVERSITY (Id: U-0747),871,817,43,51,1,4,71,51,,,20,9,287,318
"Chankaya National Law University, Patna (Id: U-0063)",19,9,,1,,,1,,,,1,1,1,
"Charotar University of Science & Technology,  Anand (Id: U-0128)",1,,,,,,,,,,,,,
"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)",112,69,16,6,,,36,15,,,1,2,1,
CHAUDHARY BANSI LAL UNIVERSITY (Id: U-0788),45,47,7,2,,,6,11,,,1,,,
"Chaudhary Charan Singh Haryana Agricultural University, Hisar (Id: U-0159)",74,17,9,1,,,7,2,,,,,,
"CHAUDHARY RANBIR SINGH UNIVERSITY, JIND (Id: U-0738)",35,22,8,2,,,5,1,1,,,,1,1
"Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya, Palampur (Id: U-0179)",187,49,18,4,5,2,,,,,0,,3,1
"Ch. Devi Lal University, Sirsa (Id: U-0160)",45,18,5,1,,,1,,,,1,,2,1
"Chennai Mathematical  Institue, Chennai (Id: U-0450)",44,7,,,,,,,,,,,7,2
"Chettinad Academy of Research & Education, Kancheepuram (Id: U-0451)",2,,,,,,1,,,,,,,
CHHATRAPATI SHIVAJI MAHARAJ UNIVERSITY (Id: U-0987),1,1,1,,,,,,,,,,1,
CHHATTISGARH KAMDHENU VISHWAVIDALAYA (Id: U-0634),10,3,,,1,,,,,,1,,1,1
"Chhattisgarh Swami Vivekanand Technical University, Bhilai (Id: U-0083)",17,9,2,1,,,5,3,,,,,1,
"Children University, Gandhinagar (Id: U-0594)",7,3,,,,,1,,,,,,,
Chinmaya Vishwavidyapeeth (Id: U-0903),25,15,,,,,,,,,,,,
"Chitkara University, Kalu Jhanda (Barotiwala), Solan (Id: U-0180)",49,73,,0,,,4,4,,,,,7,11
"Chitkara University, Patiala (Id: U-0373)",276,345,2,3,,,3,5,,,5,,75,93
"Choudhary Charan Singh University, Meerut (Id: U-0506)",45,20,7,2,,,13,2,,,3,,,
"Christ University, Bangalore (Id: U-0217)",445,278,13,3,3,2,103,35,2,,3,8,161,78
Cluster University of Jammu (Id: U-0926),9,11,,,,,,,,,1,,1,3
Cluster University Srinagar (Id: U-0909),5,3,,,,,,,,,5,3,,
CMJ University (Id: U-0942),81,50,2,1,9,8,10,6,,,8,4,16,5
"CMR UNIVERSITY, BANGALORE (Id: U-0723)",74,82,2,4,,,6,6,,,1,2,3,6
"Cochin University of Science & Technology, Kochi (Id: U-0253)",109,49,13,5,1,1,44,18,,,9,3,20,10
COOCH BEHAR PANCHANAN BARMA UNIVERSITY (Id: U-0787),45,13,14,1,2,2,5,2,,,2,1,1,1
COTTON UNIVERSITY (Id: U-0675),106,131,2,9,6,12,25,28,,,10,9,2,4
"CT University, Ludhiana (Id: U-0892)",50,92,1,,,,5,10,,,3,5,26,47
"C.U.SHAH UNIVERSITY, SURENDRANAGAR (Id: U-0708)",8,4,,,,,2,1,,,1,,,
Dakshina Bharat Hindi Prachar Sabha (Id: U-0452),9,11,1,,,,2,3,,,,1,,
Damodaram Sanjivayya National Law University (Id: U-0002),13,9,1,,,,3,2,1,,1,,,
"Datta Meghe Institute of Medical Sciences, Nagpur (Id: U-0295)",259,198,37,44,10,9,76,60,,,6,3,29,35
"Davangere University, Davangere (Id: U-0218)",72,45,16,6,6,3,36,28,,,2,5,2,
DAV University (Id: U-0776),94,75,4,3,1,1,6,1,,,2,,12,13
"Dayalbagh Educational Institute, Agra (Id: U-0507)",129,135,19,6,2,2,17,21,,,1,1,1,5
DAYANANDA SAGAR UNIVERSITY (Id: U-0856),85,80,1,3,1,1,23,27,,,2,2,5,4
"Deccan College Postgraduate & Research Institute, Pune (Id: U-0296)",15,14,3,2,1,,3,2,,,,1,2,2
"Deenbandhu Chhotu Ram University of Science & Technology, Murthal(Sonepat) (Id: U-0161)",111,53,16,7,,,10,5,5,,,,2,
"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur (Id: U-0508)",199,68,25,13,,1,50,16,1,,6,3,,1
"Defence Institute of Advanced Technology, Girinagar, Pune (Id: U-0297)",43,10,3,,1,,6,1,,,,,1,
DELHI PHARMACEUTICAL SCIENCES AND RESEARCH UNIVERSITY (Id: U-0853),10,22,2,,,,2,1,,,,,,1
Delhi Technological University (Id: U-0098),235,118,21,8,8,1,29,6,,1,8,2,6,7
DESH BHAGAT UNIVERSITY (Id: U-0684),191,266,2,3,,,1,2,,,8,1,75,153
"Devi Ahilya Vishwavidyalaya, Indore (Id: U-0270)",130,78,23,5,14,5,16,8,1,1,4,3,4,9
"Dev Sanskriti Vishwavidyalaya, Gayatrikunj (Id: U-0551)",65,53,,,,,11,7,,,,,,
"Dharmsinh Desai univeristy, Nadiad (Id: U-0129)",181,79,3,,,,14,5,13,5,2,1,4,5
"Dhirubhai Ambani Institute of Information & Communication Technology, Gandhi Nagar (Id: U-0130)",153,94,,2,,,13,5,,,5,1,11,10
DIAMOND HARBOUR WOMEN?S UNIVERSITY (Id: U-0768),48,29,7,3,,,4,4,1,,3,2,,
"Dibrugarh University, Dibrugarh (Id: U-0051)",204,126,6,6,14,6,58,38,,,7,5,,
DIT UNIVERSITY (Id: U-0774),194,81,6,,,1,25,4,,,9,5,2,3
"Doon University, Dehradun (Id: U-0552)",20,23,2,1,,,2,2,,,,2,,1
DR. ABDUL HAQ URDU UNIVERSITY (Id: U-0998),17,3,1,,1,,4,,,,10,3,,
"Dr.A.P.J. ABDUL KALAM TECHNICAL UNIVERSITY ,LUCKNOW (Id: U-0549)",1,,,,,,,,,,,,,
Dr. A.P.J. ABDUL KALAM UNIVERSITY (Id: U-0862),29,12,2,,,,2,1,,,,,,
"Dravidian University, Kuppam, Chittoor District (Id: U-0010)",44,18,7,3,2,2,17,7,,,1,1,,2
"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad (Id: U-0298)",141,61,35,15,10,2,29,7,2,2,8,3,20,15
"Dr. Babasaheb Ambedkar Open University, Ahmedabad (Id: U-0131)",21,22,2,3,1,,1,4,,,,,,
"Dr. Babasaheb Ambedkar Technological University, Lonere (Id: U-0299)",85,38,15,10,1,,29,11,,1,2,2,7,5
"Dr. Balasaheb Sawant Konkan Krishi Vidyaapeeth,(former Konkan Krishi Vidyapeeth) Ratnagiri (Id: U-0300)",4,,,,,,1,,,,,,,
"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar (Id: U-0374)",141,32,16,3,3,,23,,3,1,2,,21,3
"Dr. B. R. Ambedkar Open University, Hyderabad (Id: U-0007)",48,24,9,5,4,2,20,6,1,,1,2,1,1
"Dr. B. R. Ambedkar University, Agra (Id: U-0509)",122,64,12,5,,,27,7,1,,6,1,1,1
Dr. B. R. Ambedkar University Delhi (Id: U-0097),88,93,6,9,4,2,,4,2,1,,,88,93
"Dr.B.R.Ambedkar University, Etcherla (Id: U-0009)",67,30,9,4,3,,53,25,,,,,2,1
Dr. C.V. Raman University (Id: U-0937),26,7,3,,,,5,3,,,1,1,,
Dr. C.V RAMAN UNIVERSITY (Id: U-0994),32,16,2,,,,12,8,,,2,,1,
"Dr. C. V. Raman University, Kota Bilaspur (Id: U-0084)",124,99,11,5,,2,31,25,,,7,2,3,7
"Dr. D.Y.Patil Vidyapeeth, Pune (Id: U-0301)",1,,,,,,,,,,,,,
"Dr. Harisingh Gaur  Vishwavidyalaya, Sagar (Id: U-0271)",161,68,32,16,4,,37,16,3,,6,3,13,5
"Dr K N Modi University, Tonk (Id: U-0393)",102,42,7,2,2,,21,4,,,4,2,2,1
"Dr. Punjarao Deshmukh Krishi Vidyapeeth, Akola (Id: U-0302)",4,,,,,,1,,,,,,,
"Dr Rajendra Prasad Central Agricultural University, Samastipur (Id: U-0075)",46,3,6,1,,,9,,,,1,,,
"Dr. Ram Manohar Lohia  Awadh University, Faizabad (Id: U-0510)",130,33,11,4,,,33,6,,,1,,,
"Dr. Ram Manohar Lohiya National Law University, Lucknow (Id: U-0511)",16,11,3,1,,,4,2,,,,1,1,
"Dr Sarvepalli Radhakrishnan Rajasthan Ayurved University, Jodhpur (Id: U-0418)",40,8,3,,,,4,,,,,,,
DR. SHYAMA PRASAD MUKHERJEE UNIVERSITY (Id: U-0982),91,57,2,1,16,15,26,12,,1,7,2,15,11
Dr. Vishwanath Karad MIT World Peace University (Id: U-0938),108,109,6,9,,,34,22,,,2,,2,1
"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan (Id: U-0181)",122,53,10,8,1,2,3,1,,,,,1,1
Dr Y S R Horticulture University (Id: U-0001),31,34,11,4,1,,9,13,,,,2,1,4
"D.Y. Patil Educational Society , Kolhapur (Id: U-0294)",147,101,,,,,,,,,2,7,5,17
D Y PATIL INTERNATIONAL UNIVERSITY (Id: U-0984),3,3,,,,,,,,,,,,
"Eternal University, Baru Sahib Sirmour (Id: U-0182)",54,55,3,0,,,9,8,,,1,,14,23
"Fakir Mohan University, Balasore (Id: U-0354)",50,18,4,1,1,3,1,,1,,1,,,2
Footwear Design and Development Institute (Id: U-0898),41,19,1,,,,11,3,,,4,,,
"Forest Research Institute, Dehradun (Id: U-0553)",75,16,10,1,2,,5,3,,,4,,1,
GALGOTIAS UNIVERSITY (Id: U-0643),457,263,1,,1,,73,42,,,35,9,8,10
"Gandhigram Rural Institute, Dindigul (Id: U-0453)",103,29,15,6,6,2,70,18,3,,2,2,13,5
"Gandhi Institute of Technology & Management (GITAM) University, Visakhapatnam (Id: U-0011)",804,395,27,12,4,1,336,138,,,19,2,19,16
GANGADHAR MEHER UNIVERSITY (Id: U-0852),36,20,5,1,2,3,5,1,1,,,,1,
"Ganpat University, Ganpat Vidyanagar, Kherva (Id: U-0132)",15,9,,,,,1,,,,,,,
Garden City University (Id: U-0918),47,69,,,,,,,,,2,2,5,8
"Gauhati University, Guwahati (Id: U-0052)",244,171,7,9,20,10,29,15,2,,17,12,5,5
"Gautam Buddha University, Greater Noida, Gautam Budh Nagar (Id: U-0514)",55,34,9,1,1,,9,5,,,4,1,3,
"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar (Id: U-0554)",1,,,,,,,,,,,,,
GEETANJALI UNIVERSITY (Id: U-0746),463,242,21,3,8,7,62,30,,,7,13,15,12
G.H. RAISONI UNIVERSITY (Id: U-0977),45,26,5,6,,,25,12,,,2,1,,1
"G.L.A University, Mathura (Id: U-0513)",380,102,4,2,,,53,9,1,2,9,1,5,1
GLS UNIVERSITY (Id: U-0775),8,2,,,,,,,,,,,,
GNA UNIVERSITY (Id: U-0789),67,44,5,1,1,,1,,,1,1,,15,14
"Goa University, Goa (Id: U-0121)",94,73,,1,1,4,4,7,,1,1,0,11,21
"Gokhale Institute of Politics & Economics, Pune (Id: U-0303)",18,11,2,2,,,2,1,,,,,1,
GOKUL GLOBAL UNIVERSITY (Id: U-0962),1,,,,,,,,,,,,,
"GONDWANA UNIVERSITY, GADCHIROLI (Id: U-0658)",21,5,5,3,3,1,3,,,,,,1,2
"Govind Guru Tribal University, Banswara (Id: U-0896)",1,,,,,,,,,,,,,
GRAPHIC ERA HILL UNIVERSITY (Id: U-0638),144,86,2,1,2,,7,4,,,1,3,3,
"Graphic Era University, Dehradun (Id: U-0555)",232,97,3,1,1,,14,2,,,11,1,6,1
G S F C UNIVERSITY (Id: U-0759),57,19,,,,,,1,,,1,,,
"Gujarat Ayurveda University, Jamnagar (Id: U-0133)",2,,,,,,,,,,,,,
Gujarat Forensic Sciences University (Id: U-0593),21,10,,,,,2,,,,,,1,
"Gujarat National Law University, Gandhinagar (Id: U-0134)",27,16,,1,,1,3,,2,,1,,3,
"Gujarat Technological University, Ahmedbabd (Id: U-0135)",1,,,,,,,,,,,,,
"Gujarat University, Ahmedabad (Id: U-0136)",83,43,6,3,9,2,24,3,2,1,1,,4,5
GUJARAT UNIVERSITY OF TRANSPLANTATION SCIENCES (Id: U-0817),2,3,,,,,,,,,,,1,2
"Gujarat Vidyapith, Ahmedabad (Id: U-0137)",80,31,15,3,9,,13,2,,,1,2,,
"Gulbarga University, Gulbarga (Id: U-0219)",96,34,40,8,8,1,23,11,,,4,1,5,
"Guru Angad Dev Veterinary & Animal Sciences University, Ludhiana (Id: U-0375)",168,43,6,2,1,,8,,,,2,,56,17
"Guru Ghasidas Vishwavidyalaya, Bilaspur (Id: U-0085)",262,99,42,10,15,10,66,23,1,,4,1,15,10
Guru Gobind Singh Indraprastha University (Id: U-0099),101,90,14,11,4,,4,4,3,1,4,1,5,7
"GURUGRAM UNIVERSITY, GURUGRAM (Id: U-1021)",2,1,,,,,,,,,,,,
"Guru  Jambheshwar University of Science and Technology, Hissar (Id: U-0162)",144,56,20,8,,,9,2,,,,,2,
GURU KASHI UNIVERSITY (Id: U-0653),130,132,11,10,,,8,17,,,,,96,95
"Gurukul Kangri Vishwavidyalaya, Haridwar (Id: U-0556)",128,33,10,1,1,,6,1,1,,,,,
"Guru Nanak Dev University, Amritsar (Id: U-0376)",190,242,10,16,,,5,6,3,1,3,,123,154
GURU RAVIDAS AYURVED UNIVERSITY (Id: U-0660),0,,,,,,,,,,,,,
